Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N,Sprache
Unterstammheim,8476,0,Stammheim,292,ZH,701722.337654854,277564.172444299,de
Oberstammheim,8477,0,Stammheim,292,ZH,702398.016995769,276817.391234976,de
Wilen b. Neunforn,8525,2,Stammheim,292,ZH,702159.74030145,273317.325440456,de
Au ZH,8804,0,Wädenswil,293,ZH,691172.413637332,233596.547938567,de
Wädenswil,8820,0,Wädenswil,293,ZH,693382.496047901,231571.873627809,de
Schönenberg ZH,8824,0,Wädenswil,293,ZH,691421.181694964,227586.633922387,de
Hütten,8825,0,Wädenswil,293,ZH,693267.675013502,225696.904601548,de
Elgg,8353,0,Elgg,294,ZH,707681.317473927,260916.049616815,de
Hofstetten ZH,8354,0,Elgg,294,ZH,706671.367782153,258998.632047571,de
Dickbuch,8354,1,Elgg,294,ZH,704962.004225414,261558.324553647,de
Aadorf,8355,0,Elgg,294,ZH,709536.703414151,261147.633476429,de
Hagenbuch ZH,8523,0,Elgg,294,ZH,709391.654945399,262193.113311276,de
Sihlbrugg,6340,4,Horgen,295,ZH,685852.57101868,232032.006684203,de
Langnau am Albis,8135,0,Horgen,295,ZH,684449.617194914,234448.721101569,de
Sihlbrugg Station,8135,2,Horgen,295,ZH,686206.405408144,232655.572887477,de
Sihlwald,8135,3,Horgen,295,ZH,684669.821591355,235867.991315858,de
Horgen,8810,0,Horgen,295,ZH,687700.798446924,234937.882325338,de
Horgenberg,8815,0,Horgen,295,ZH,686698.690245709,233626.70380747,de
Hirzel,8816,0,Horgen,295,ZH,688473.758082765,230224.047739859,de
Effretikon,8307,0,Illnau-Effretikon,296,ZH,694371.768368893,253790.92698082,de
Ottikon b. Kemptthal,8307,2,Illnau-Effretikon,296,ZH,696426.564389022,254550.032523428,de
Illnau,8308,0,Illnau-Effretikon,296,ZH,696906.891492331,251697.622369746,de
Agasul,8308,2,Illnau-Effretikon,296,ZH,698439.333424157,253527.563846213,de
Kyburg,8314,0,Illnau-Effretikon,296,ZH,698481.7416768,257152.703061336,de
Sennhof (Winterthur),8482,0,Illnau-Effretikon,296,ZH,699139.827832278,258098.667822262,de
Kollbrunn,8483,0,Illnau-Effretikon,296,ZH,700079.620059731,256393.716594902,de
Saland,8493,0,Bauma,297,ZH,706817.922911724,249883.928522313,de
Bauma,8494,0,Bauma,297,ZH,708660.354336274,247267.799485915,de
Sternenberg,8499,0,Bauma,297,ZH,711224.844524961,249540.964773985,de
Wiesendangen,8542,0,Wiesendangen,298,ZH,701739.912506496,264266.807779752,de
Bertschikon,8543,0,Wiesendangen,298,ZH,703611.174928357,264916.04492418,de
Gundetswil,8543,1,Wiesendangen,298,ZH,704175.082674134,266376.278130465,de
